(0,0.015644591)
(1,0.068005785)
(2,0.021903245)
(3,0.012177617)
(4,0.019876823)
(5,0.007700023)
(6,0.026908642)
(7,0.02325383)
(8,0.015124422)
(9,0.024425846)
(10,0.02204392)
(11,0.011148457)
(12,0.0076493146)
(13,0.02101067)
(14,0.019982057)
(15,0.011164542)
(16,0.02242314)
(17,0.02108128)
(18,0.024515266)
(19,0.011457615)
(20,0.026539234)
(21,0.005958494)
(22,0.011745779)
(23,0.010605661)
(24,0.014366524)
(25,0.015340614)
(26,0.046610165)
(27,0.017838677)
(28,0.02365568)
(29,0.02342013)
(30,0.026597576)
(31,0.015910946)
(32,0.021498123)
(33,0.02227156)
(34,0.018586488)
(35,0.026594032)
(36,0.0035738423)
(37,0.028822197)
(38,0.018650828)
(39,0.022261474)
(40,0.009852671)
(41,0.012607275)
(42,0.018880922)
(43,0.014043463)
(44,0.046391793)
(45,0.019831022)
(46,0.016235368)
(47,0.024249729)
(48,0.0152740935)
(49,0.014288553)
