[650.930910448668,458.9239552809987]
[0.03850463963019407,0.006159000283920101]
[237.945725038448,516.181496683111]
[916.9357444007532,585.8349693942772]
[854.2213592343373,79.82433375607425]
[456.2370973973156,547.6247071339882]
[817.4082862252593,334.6541321766436]
[568.4783163155964,726.205995229555]
[490.0385305634052,107.62628606789623]
[339.8402647973171,377.68641442279636]
[230.1962289935832,362.1577264124688]
[536.3926151414033,240.7228630598756]
[336.3053060136915,661.2533410234088]
[545.629380932348,350.3015215062005]
[688.8932519781998,185.08299729765096]
[318.2054688593148,168.43610495403735]
[121.182152306153,898.9211814697986]
[704.3536766649896,371.4276057966127]
[170.2243434312774,780.9682682667978]
[788.4507335519359,595.3309304306172]
[176.02388319214432,345.8008599585893]
[467.48163145804943,539.3946628973589]
[617.9535562315261,796.5043737736968]
[93.669957328734,400.3627513011382]
[646.7811757668138,264.1220254526978]
[122.58868980372984,192.03194500727392]
[462.8276919347169,341.116279131421]
[595.1084556461481,356.3527604020825]
[773.6911561101914,787.1596604760759]
[598.6541222489141,653.3525450654384]
[311.2788841539711,910.7762589601482]
[415.2660947618668,621.8649884016693]
[872.7635213744261,417.47415825773584]
[186.94171561361333,728.8358338746948]
[674.0430568363183,75.66274746804083]
[461.983152908705,373.02495180747115]
[402.9462491395587,442.4114376728385]
[551.8577714155274,459.88977077116436]
[905.2334630414604,676.0147247658055]
[535.2134425412713,682.2859178671731]
[457.8335790988468,860.9436313549495]
[788.630851680763,313.24875819032945]
[626.4936619761377,533.7886222400085]
[460.31626185830993,527.4070295738004]
[481.47750669791867,558.8524788541766]
[337.3259362529455,531.5360936316322]
[809.4589172058045,542.5771662083367]
[602.2934030942922,454.16710642346936]
[311.91283725447613,256.9674303699441]
[289.5210540820433,755.1434787346342]
