(0,0.016896121)
(1,0.023393894)
(2,0.016377553)
(3,0.012170707)
(4,0.02961498)
(5,0.01814208)
(6,0.007259964)
(7,0.011904461)
(8,0.02792615)
(9,0.01878507)
(10,0.018841624)
(11,0.019572495)
(12,0.021927806)
(13,0.020323375)
(14,0.019072197)
(15,0.025844045)
(16,0.009797993)
(17,0.016425407)
(18,0.015215123)
(19,0.028565662)
(20,0.02854826)
(21,0.012532661)
(22,0.02144665)
(23,0.02929566)
(24,0.028889332)
(25,0.019626439)
(26,0.024268325)
(27,0.019869192)
(28,0.012920718)
(29,0.020815842)
(30,0.011167502)
(31,0.029655004)
(32,0.030277112)
(33,0.014469463)
(34,0.022352405)
(35,0.018200375)
(36,0.022979734)
(37,0.025321996)
(38,0.0035316627)
(39,0.022040917)
(40,0.021643288)
(41,0.013408833)
(42,0.022073109)
(43,0.026882052)
(44,0.020194603)
(45,0.018439647)
(46,0.027527653)
(47,0.011858347)
(48,0.024797335)
(49,0.016909173)
