(0,0.02593175)
(1,0.043991312)
(2,0.028236363)
(3,0.004540459)
(4,0.027888995)
(5,0.035424832)
(6,0.008817453)
(7,0.02209058)
(8,0.0016214874)
(9,0.0047498485)
(10,0.044610668)
(11,0.032274432)
(12,0.025626114)
(13,0.114520654)
(14,0.0046212757)
(15,0.011013037)
(16,0.0077068773)
(17,0.006549134)
(18,0.0026324373)
(19,0.017331474)
(20,0.007949476)
(21,0.07395981)
(22,0.0057688802)
(23,7.2529784E-4)
(24,0.0015896013)
(25,0.0015396415)
(26,0.02930315)
(27,0.00901979)
(28,0.009032721)
(29,0.033178408)
(30,0.0054000597)
(31,0.0052933814)
(32,0.0011847805)
(33,0.0073906616)
(34,0.004586157)
(35,0.047621623)
(36,0.046623603)
(37,0.0140796825)
(38,0.0037975279)
(39,0.025842115)
(40,0.002852995)
(41,0.016343594)
(42,0.011268566)
(43,0.10793419)
(44,0.02091873)
(45,0.0049122176)
(46,0.01060513)
(47,0.011240207)
(48,0.007108389)
(49,0.0027504305)
