(0,0.024066903)
(1,0.014437253)
(2,0.017302675)
(3,0.01697573)
(4,0.019984007)
(5,0.018041998)
(6,0.026800258)
(7,0.025210252)
(8,0.015886668)
(9,0.01666166)
(10,0.02764694)
(11,0.0033376566)
(12,0.022157606)
(13,0.016086942)
(14,0.01980009)
(15,0.03017289)
(16,0.02605502)
(17,0.013137825)
(18,0.018982988)
(19,0.014498674)
(20,0.014218188)
(21,0.018890942)
(22,0.019848982)
(23,0.02499919)
(24,0.023089895)
(25,0.017171828)
(26,0.026330287)
(27,0.022731109)
(28,0.011923658)
(29,0.016073717)
(30,0.02703568)
(31,0.019774511)
(32,0.017093876)
(33,0.022965834)
(34,0.025948532)
(35,0.02523322)
(36,0.014324153)
(37,0.023483308)
(38,0.023257805)
(39,0.025430884)
(40,0.022271402)
(41,0.009422242)
(42,0.019493675)
(43,0.015764868)
(44,0.02129022)
(45,0.018944707)
(46,0.015536755)
(47,0.02864761)
(48,0.017474238)
(49,0.02408465)
