(0,0.010011286)
(1,0.025538906)
(2,0.040120658)
(3,0.021174885)
(4,0.022229165)
(5,0.06234051)
(6,0.02118691)
(7,0.03394095)
(8,0.009414879)
(9,0.0051330947)
(10,0.021174178)
(11,0.009982871)
(12,0.016837569)
(13,0.025813263)
(14,0.014100831)
(15,0.008596286)
(16,0.020572525)
(17,0.01897283)
(18,0.021151423)
(19,0.01253415)
(20,0.028653225)
(21,0.020726033)
(22,0.023877079)
(23,0.021010883)
(24,0.015151277)
(25,0.011372286)
(26,0.025577402)
(27,0.02614398)
(28,0.010486135)
(29,0.024005475)
(30,0.01775915)
(31,0.013297683)
(32,0.023878906)
(33,0.025939006)
(34,0.018441683)
(35,0.019358136)
(36,0.025069715)
(37,0.029760383)
(38,0.010716221)
(39,0.014868726)
(40,0.009476895)
(41,0.0015868415)
(42,0.018815314)
(43,0.01651104)
(44,0.029214203)
(45,0.024724204)
(46,0.018415805)
(47,0.009821817)
(48,0.036043435)
(49,0.008469836)
